profileID,respID,qID,altID,obsID,enrollment,monthly,window,guaranteed,minimum,charger_No,charger_Yes,time_control_5pm-9am,time_control_24/7,no_choice
627,11,5,2,85,300,15,2,60,30,0,1,1,0,0
0,11,5,3,85,0,0,0,0,0,0,0,0,0,1
1005,11,6,1,86,300,15,4,50,40,0,1,0,1,0
1140,11,6,2,86,300,15,4,60,40,1,0,0,1,0
0,11,6,3,86,0,0,0,0,0,0,0,0,0,1
1230,11,7,1,87,300,15,0.5,70,40,1,0,0,1,0
259,11,7,2,87,100,20,2,60,20,1,0,0,1,0
0,11,7,3,87,0,0,0,0,0,0,0,0,0,1
679,11,8,1,88,100,15,1,60,30,0,1,0,1,0
972,11,8,2,88,300,20,1,50,40,0,1,0,1,0
0,11,8,3,88,0,0,0,0,0,0,0,0,0,1
1027,12,1,1,89,100,10,1,60,40,1,0,1,0,0
839,12,1,2,89,200,10,2,70,30,0,1,0,1,0
0,12,1,3,89,0,0,0,0,0,0,0,0,0,1
465,12,2,1,90,300,15,1,50,30,0,1,1,0,0
1138,12,2,2,90,100,15,4,60,40,1,0,0,1,0
0,12,2,3,90,0,0,0,0,0,0,0,0,0,1
563,12,3,1,91,200,15,4,50,30,1,0,0,1,0
922,12,3,2,91,100,15,4,50,40,1,0,1,0,0
0,12,3,3,91,0,0,0,0,0,0,0,0,0,1
1263,12,4,1,92,300,10,2,70,40,1,0,0,1,0
1138,12,4,2,92,100,15,4,60,40,1,0,0,1,0
0,12,4,3,92,0,0,0,0,0,0,0,0,0,1
763,12,5,1,93,100,20,2,70,30,1,0,1,0,0
765,12,5,2,93,300,20,2,70,30,1,0,1,0,0
0,12,5,3,93,0,0,0,0,0,0,0,0,0,1
1144,12,6,1,94,100,10,4,60,40,0,1,0,1,0
632,12,6,2,94,200,10,4,60,30,1,0,1,0,0
0,12,6,3,94,0,0,0,0,0,0,0,0,0,1
1195,12,7,1,95,100,20,2,70,40,1,0,1,0,0
707,12,7,2,95,200,15,4,60,30,1,0,0,1,0
0,12,7,3,95,0,0,0,0,0,0,0,0,0,1
445,12,8,1,96,100,15,0.5,50,30,0,1,1,0,0
1074,12,8,2,96,300,10,4,60,40,0,1,1,0,0
0,12,8,3,96,0,0,0,0,0,0,0,0,0,1
187,13,1,1,97,100,20,2,60,20,1,0,1,0,0
477,13,1,2,97,300,20,2,50,30,1,0,1,0,0
0,13,1,3,97,0,0,0,0,0,0,0,0,0,1
715,13,2,1,98,100,15,4,60,30,0,1,0,1,0
208,13,2,2,98,100,10,4,60,20,0,1,1,0,0
0,13,2,3,98,0,0,0,0,0,0,0,0,0,1
943,13,3,1,99,100,20,0.5,50,40,1,0,0,1,0
1064,13,3,2,99,200,10,4,60,40,1,0,1,0,0
0,13,3,3,99,0,0,0,0,0,0,0,0,0,1
77,13,4,1,100,200,15,0.5,50,20,1,0,0,1,0
48,13,4,2,100,300,10,2,50,20,0,1,1,0,0
0,13,4,3,100,0,0,0,0,0,0,0,0,0,1
1258,13,5,1,101,100,20,1,70,40,0,1,0,1,0
557,13,5,2,101,200,20,2,50,30,0,1,0,1,0
0,13,5,3,101,0,0,0,0,0,0,0,0,0,1
200,13,6,1,102,200,10,4,60,20,1,0,1,0,0
664,13,6,2,102,100,20,0.5,60,30,0,1,0,1,0
0,13,6,3,102,0,0,0,0,0,0,0,0,0,1
1080,13,7,1,103,300,20,4,60,40,0,1,1,0,0
743,13,7,2,103,200,15,1,70,30,1,0,1,0,0
0,13,7,3,103,0,0,0,0,0,0,0,0,0,1
593,13,8,1,104,200,20,0.5,60,30,0,1,1,0,0
868,13,8,2,104,100,15,0.5,50,40,1,0,1,0,0
0,13,8,3,104,0,0,0,0,0,0,0,0,0,1
903,14,1,1,105,300,10,2,50,40,1,0,1,0,0
1082,14,1,2,105,200,10,0.5,60,40,1,0,0,1,0
0,14,1,3,105,0,0,0,0,0,0,0,0,0,1
1295,14,2,1,106,200,20,4,70,40,0,1,0,1,0
611,14,2,2,106,200,20,1,60,30,0,1,1,0,0
0,14,2,3,106,0,0,0,0,0,0,0,0,0,1
577,14,3,1,107,100,10,0.5,60,30,1,0,1,0,0
310,14,3,2,107,100,15,1,70,20,1,0,1,0,0
0,14,3,3,107,0,0,0,0,0,0,0,0,0,1
939,14,4,1,108,300,10,0.5,50,40,1,0,0,1,0
347,14,4,2,108,200,15,4,70,20,1,0,1,0,0
0,14,4,3,108,0,0,0,0,0,0,0,0,0,1
365,14,5,1,109,200,15,0.5,70,20,1,0,0,1,0
1108,14,5,2,109,100,10,1,60,40,0,1,0,1,0
0,14,5,3,109,0,0,0,0,0,0,0,0,0,1
1035,14,6,1,110,300,20,1,60,40,1,0,1,0,0
1105,14,6,2,110,100,20,1,60,40,1,0,0,1,0
0,14,6,3,110,0,0,0,0,0,0,0,0,0,1
449,14,7,1,111,200,20,0.5,50,30,0,1,1,0,0
927,14,7,2,111,300,20,4,50,40,1,0,1,0,0
0,14,7,3,111,0,0,0,0,0,0,0,0,0,1
765,14,8,1,112,300,20,2,70,30,1,0,1,0,0
911,14,8,2,112,200,10,2,50,40,0,1,1,0,0
0,14,8,3,112,0,0,0,0,0,0,0,0,0,1
1280,15,1,1,113,200,10,4,70,40,1,0,0,1,0
1104,15,1,2,113,300,15,1,60,40,1,0,0,1,0
0,15,1,3,113,0,0,0,0,0,0,0,0,0,1
1130,15,2,1,114,200,15,2,60,40,0,1,0,1,0
319,15,2,2,114,100,15,1,70,20,0,1,1,0,0
0,15,2,3,114,0,0,0,0,0,0,0,0,0,1
114,15,3,1,115,300,15,2,50,20,1,0,0,1,0
795,15,3,2,115,300,10,0.5,70,30,1,0,0,1,0
0,15,3,3,115,0,0,0,0,0,0,0,0,0,1
1273,15,4,1,116,100,15,2,70,40,0,1,0,1,0
1189,15,4,2,116,100,10,2,70,40,1,0,1,0,0
0,15,4,3,116,0,0,0,0,0,0,0,0,0,1
1045,15,5,1,117,100,10,2,60,40,1,0,1,0,0
527,15,5,2,117,200,15,1,50,30,1,0,0,1,0
0,15,5,3,117,0,0,0,0,0,0,0,0,0,1
379,15,6,1,118,100,10,1,70,20,1,0,0,1,0
671,15,6,2,118,200,15,1,60,30,1,0,0,1,0
0,15,6,3,118,0,0,0,0,0,0,0,0,0,1
625,15,7,1,119,100,15,2,60,30,0,1,1,0,0
1083,15,7,2,119,300,10,0.5,60,40,1,0,0,1,0
0,15,7,3,119,0,0,0,0,0,0,0,0,0,1
637,15,8,1,120,100,20,4,60,30,1,0,1,0,0
153,15,8,2,120,300,20,0.5,60,20,1,0,1,0,0
0,15,8,3,120,0,0,0,0,0,0,0,0,0,1
527,16,1,1,121,200,15,1,50,30,1,0,0,1,0
405,16,1,2,121,300,20,2,70,20,1,0,0,1,0
0,16,1,3,121,0,0,0,0,0,0,0,0,0,1
89,16,2,1,122,200,20,0.5,50,20,0,1,0,1,0
972,16,2,2,122,300,20,1,50,40,0,1,0,1,0
0,16,2,3,122,0,0,0,0,0,0,0,0,0,1
337,16,3,1,123,100,15,2,70,20,0,1,1,0,0
129,16,3,2,123,300,10,4,50,20,1,0,0,1,0
0,16,3,3,123,0,0,0,0,0,0,0,0,0,1
510,16,4,1,124,300,15,0.5,50,30,1,0,0,1,0
26,16,4,2,124,200,20,1,50,20,1,0,1,0,0
0,16,4,3,124,0,0,0,0,0,0,0,0,0,1
319,16,5,1,125,100,15,1,70,20,0,1,1,0,0
297,16,5,2,125,300,20,0.5,70,20,1,0,1,0,0
0,16,5,3,125,0,0,0,0,0,0,0,0,0,1
1281,16,6,1,126,300,10,4,70,40,1,0,0,1,0
674,16,6,2,126,200,20,1,60,30,1,0,0,1,0
0,16,6,3,126,0,0,0,0,0,0,0,0,0,1
677,16,7,1,127,200,10,1,60,30,0,1,0,1,0
629,16,7,2,127,200,20,2,60,30,0,1,1,0,0
0,16,7,3,127,0,0,0,0,0,0,0,0,0,1
1027,16,8,1,128,100,10,1,60,40,1,0,1,0,0
1042,16,8,2,128,100,20,1,60,40,0,1,1,0,0
0,16,8,3,128,0,0,0,0,0,0,0,0,0,1
1205,17,1,1,129,200,20,2,70,40,0,1,1,0,0
544,17,1,2,129,100,15,2,50,30,1,0,0,1,0
0,17,1,3,129,0,0,0,0,0,0,0,0,0,1
1098,17,2,1,130,300,20,0.5,60,40,0,1,0,1,0
971,17,2,2,130,200,20,1,50,40,0,1,0,1,0
0,17,2,3,130,0,0,0,0,0,0,0,0,0,1
1025,17,3,1,131,200,20,0.5,60,40,0,1,1,0,0
256,17,3,2,131,100,15,2,60,20,1,0,0,1,0
0,17,3,3,131,0,0,0,0,0,0,0,0,0,1
295,17,4,1,132,100,20,0.5,70,20,1,0,1,0,0
660,17,4,2,132,300,10,0.5,60,30,0,1,0,1,0
0,17,4,3,132,0,0,0,0,0,0,0,0,0,1
992,17,5,1,133,200,10,4,50,40,1,0,0,1,0
74,17,5,2,133,200,10,0.5,50,20,1,0,0,1,0
0,17,5,3,133,0,0,0,0,0,0,0,0,0,1
1271,17,6,1,134,200,10,2,70,40,0,1,0,1,0
945,17,6,2,134,300,20,0.5,50,40,1,0,0,1,0
0,17,6,3,134,0,0,0,0,0,0,0,0,0,1
205,17,7,1,135,100,20,4,60,20,1,0,1,0,0
709,17,7,2,135,100,20,4,60,30,1,0,0,1,0
0,17,7,3,135,0,0,0,0,0,0,0,0,0,1
362,17,8,1,136,200,10,0.5,70,20,1,0,0,1,0
100,17,8,2,136,100,10,1,50,20,0,1,0,1,0
0,17,8,3,136,0,0,0,0,0,0,0,0,0,1
837,18,1,1,137,300,20,2,70,30,1,0,0,1,0
28,18,1,2,137,100,10,1,50,20,0,1,1,0,0
0,18,1,3,137,0,0,0,0,0,0,0,0,0,1
212,18,2,1,138,200,15,4,60,20,0,1,1,0,0
310,18,2,2,138,100,15,1,70,20,1,0,1,0,0
0,18,2,3,138,0,0,0,0,0,0,0,0,0,1
