profileID,respID,qID,altID,obsID,enrollment,monthly,window,guaranteed,minimum,charger_No,charger_Yes,time_control_5pm-9am,time_control_24/7,no_choice
1289,8,5,1,61,200,10,4,70,40,0,1,0,1,0
1028,8,5,2,61,200,10,1,60,40,1,0,1,0,0
0,8,5,3,61,0,0,0,0,0,0,0,0,0,1
1029,8,6,1,62,300,10,1,60,40,1,0,1,0,0
1270,8,6,2,62,100,10,2,70,40,0,1,0,1,0
0,8,6,3,62,0,0,0,0,0,0,0,0,0,1
649,8,7,1,63,100,10,0.5,60,30,1,0,0,1,0
541,8,7,2,63,100,10,2,50,30,1,0,0,1,0
0,8,7,3,63,0,0,0,0,0,0,0,0,0,1
749,8,8,1,64,200,10,1,70,30,0,1,1,0,0
877,8,8,2,64,100,15,0.5,50,40,0,1,1,0,0
0,8,8,3,64,0,0,0,0,0,0,0,0,0,1
841,9,1,1,65,100,15,2,70,30,0,1,0,1,0
685,9,1,2,65,100,10,2,60,30,1,0,0,1,0
0,9,1,3,65,0,0,0,0,0,0,0,0,0,1
162,9,2,1,66,300,20,0.5,60,20,0,1,1,0,0
469,9,2,2,66,100,10,2,50,30,1,0,1,0,0
0,9,2,3,66,0,0,0,0,0,0,0,0,0,1
134,9,3,1,67,200,20,4,50,20,1,0,0,1,0
1193,9,3,2,67,200,15,2,70,40,1,0,1,0,0
0,9,3,3,67,0,0,0,0,0,0,0,0,0,1
1189,9,4,1,68,100,10,2,70,40,1,0,1,0,0
761,9,4,2,68,200,15,2,70,30,1,0,1,0,0
0,9,4,3,68,0,0,0,0,0,0,0,0,0,1
849,9,5,1,69,300,10,4,70,30,1,0,0,1,0
29,9,5,2,69,200,10,1,50,20,0,1,1,0,0
0,9,5,3,69,0,0,0,0,0,0,0,0,0,1
840,9,6,1,70,300,10,2,70,30,0,1,0,1,0
868,9,6,2,70,100,15,0.5,50,40,1,0,1,0,0
0,9,6,3,70,0,0,0,0,0,0,0,0,0,1
302,9,7,1,71,200,15,0.5,70,20,0,1,1,0,0
695,9,7,2,71,200,10,2,60,30,0,1,0,1,0
0,9,7,3,71,0,0,0,0,0,0,0,0,0,1
768,9,8,1,72,300,10,2,70,30,0,1,1,0,0
638,9,8,2,72,200,20,4,60,30,1,0,1,0,0
0,9,8,3,72,0,0,0,0,0,0,0,0,0,1
983,10,1,1,73,200,10,2,50,40,0,1,0,1,0
42,10,1,2,73,300,15,2,50,20,1,0,1,0,0
0,10,1,3,73,0,0,0,0,0,0,0,0,0,1
971,10,2,1,74,200,20,1,50,40,0,1,0,1,0
662,10,2,2,74,200,15,0.5,60,30,0,1,0,1,0
0,10,2,3,74,0,0,0,0,0,0,0,0,0,1
401,10,3,1,75,200,15,2,70,20,1,0,0,1,0
991,10,3,2,75,100,10,4,50,40,1,0,0,1,0
0,10,3,3,75,0,0,0,0,0,0,0,0,0,1
183,10,4,1,76,300,10,2,60,20,1,0,1,0,0
694,10,4,2,76,100,10,2,60,30,0,1,0,1,0
0,10,4,3,76,0,0,0,0,0,0,0,0,0,1
828,10,5,1,77,300,20,1,70,30,0,1,0,1,0
910,10,5,2,77,100,10,2,50,40,0,1,1,0,0
0,10,5,3,77,0,0,0,0,0,0,0,0,0,1
90,10,6,1,78,300,20,0.5,50,20,0,1,0,1,0
795,10,6,2,78,300,10,0.5,70,30,1,0,0,1,0
0,10,6,3,78,0,0,0,0,0,0,0,0,0,1
1232,10,7,1,79,200,20,0.5,70,40,1,0,0,1,0
317,10,7,2,79,200,10,1,70,20,0,1,1,0,0
0,10,7,3,79,0,0,0,0,0,0,0,0,0,1
551,10,8,1,80,200,10,2,50,30,0,1,0,1,0
302,10,8,2,80,200,15,0.5,70,20,0,1,1,0,0
0,10,8,3,80,0,0,0,0,0,0,0,0,0,1
107,11,1,1,81,200,20,1,50,20,0,1,0,1,0
453,11,1,2,81,300,10,1,50,30,1,0,1,0,0
0,11,1,3,81,0,0,0,0,0,0,0,0,0,1
163,11,2,1,82,100,10,1,60,20,1,0,1,0,0
996,11,2,2,82,300,15,4,50,40,1,0,0,1,0
0,11,2,3,82,0,0,0,0,0,0,0,0,0,1
1292,11,3,1,83,200,15,4,70,40,0,1,0,1,0
1115,11,3,2,83,200,20,1,60,40,0,1,0,1,0
0,11,3,3,83,0,0,0,0,0,0,0,0,0,1
937,11,4,1,84,100,10,0.5,50,40,1,0,0,1,0
74,11,4,2,84,200,10,0.5,50,20,1,0,0,1,0
0,11,4,3,84,0,0,0,0,0,0,0,0,0,1
387,11,5,1,85,300,20,1,70,20,1,0,0,1,0
76,11,5,2,85,100,15,0.5,50,20,1,0,0,1,0
0,11,5,3,85,0,0,0,0,0,0,0,0,0,1
823,11,6,1,86,100,15,1,70,30,0,1,0,1,0
820,11,6,2,86,100,10,1,70,30,0,1,0,1,0
0,11,6,3,86,0,0,0,0,0,0,0,0,0,1
262,11,7,1,87,100,10,2,60,20,0,1,0,1,0
729,11,7,2,87,300,20,0.5,70,30,1,0,1,0,0
0,11,7,3,87,0,0,0,0,0,0,0,0,0,1
63,11,8,1,88,300,20,4,50,20,1,0,1,0,0
724,11,8,2,88,100,15,0.5,70,30,1,0,1,0,0
0,11,8,3,88,0,0,0,0,0,0,0,0,0,1
947,12,1,1,89,200,10,0.5,50,40,0,1,0,1,0
457,12,1,2,89,100,20,1,50,30,1,0,1,0,0
0,12,1,3,89,0,0,0,0,0,0,0,0,0,1
284,12,2,1,90,200,15,4,60,20,0,1,0,1,0
1251,12,2,2,90,300,20,1,70,40,1,0,0,1,0
0,12,2,3,90,0,0,0,0,0,0,0,0,0,1
1132,12,3,1,91,100,20,2,60,40,0,1,0,1,0
940,12,3,2,91,100,15,0.5,50,40,1,0,0,1,0
0,12,3,3,91,0,0,0,0,0,0,0,0,0,1
1249,12,4,1,92,100,20,1,70,40,1,0,0,1,0
1175,12,4,2,92,200,15,1,70,40,1,0,1,0,0
0,12,4,3,92,0,0,0,0,0,0,0,0,0,1
898,12,5,1,93,100,20,1,50,40,0,1,1,0,0
704,12,5,2,93,200,10,4,60,30,1,0,0,1,0
